summonerId,accountId,puuid,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
KCMryl4mPEDJAkF7AYywliazBaQv8xQs9cnEIcWVNUDenXQ,DicN7H0zIvzjLmWj4JxUsN2xzB73XnbAsxK7giws4c70cS4,aEdxIBp0-vhmTX_ZsL15-Sg0a_7UsvEYYExYYbzwzlpJwv0ifHfMioG4YO3Vp-S71aXWtWW8_KEa6g,3785,1731700356861,535,1535,I,210,161,True,False,False,False
HEK5QUT3pLTFphGdd_t8-pZNWRxRj3upxoGvOZvoxt_WYuR31LfwtYSdhA,3oD-1oSehoT1vmHtdKkWAqi5buS9OwJr81pKS0beRgeJTULV_8-U_mQp,_ytN38SnaAhRbv3OodY-snUP2w2SflZ_lx4KwpMB8nGZ1DdXIv4kk9pbZdL9UKS_HAd_c2eBaomIJA,1626,1731735387950,287,1527,I,413,368,True,False,False,True
oMAC7xcH9QB5QiFL_JAXURVXrCHZRPuIJH-hkvhWbUPxGYw,CMWY8EGSl8e_2a9CAcgnaB0l2YCcXZzcGuW0wy4f-tWAjjtt8yq3lFWa,TU1i4Jz2gipB0F9Mah68Oq0NYQq3oHqNdh5wB7pxyuvKJpNxndNCxJGxlwUxSMbie9XnJQbTprXaIg,4557,1731622208000,1078,1499,I,289,233,True,False,False,False
jgu_S_lkBLw0BXAoXsFmFCXs79qnZo14nvp3RKUYReNLryQ,wb3LL_DJyAvNroP2Ct84zjrDa7Ge_GbiD4u_PoL-x4FdWbk,Jy0TGjoJ-ay_vxBQ3ktflX7ZnX7sYUWsUqk-Ipl15h4d9Gf50LILzbvlPfCi075yS-nrHfFfFKso7w,7,1731705504407,956,1492,I,211,163,True,False,False,False
faJh97Tjo4JDxliYcF4Wm2KRMPD37vqTceqnu-BsiguzmV_Y,BrND8oKSfot4C2i-Ua46p5j-ruj4hO5G3pjW463qzrfHOjV6MRon2-kY,CKUEQt3KSOvnxmyvmSGtR0MSKdDoErgXrqL-IIM3jwr30BVOhJyQ8bzygcd0Gea524QYy6GarpawUQ,4660,1731677612409,440,1483,I,185,133,True,False,False,False
vJrs3ZJ1fF-uALflXrqKWRY0N8DEQrg8w6RKikzSog2MT0dg,JCMKwA4nohQXeKis5q9oHVul5bKro0eUkfPnUQo_Qk7dYZYntU27vqCJ,TYYgWgNq41uBbC4os2vyi5ROkwxVOSARo9OwFFEAUhBHwrSmCY5P2Xyolv8i70FcwZ9XMKz87SUDIw,6709,1731749550246,555,1482,I,246,199,True,False,False,False
vruqy1spoDmLeovWtJl8_DfAjsAerkAb1OIXA0yj2yBbkYU,1drX5zDe_dKL4PShs8aObBm_bqoaUj1xHXfHFXRU9f5GINk,Vaaeda_2fkBtN8PAgzE_Sh1brh9zUxx5D9oId4rNRf7vvBLwf9jdShqgtld8ZmDR7wxFcnNunVbUsw,5180,1731518058000,570,1482,I,184,136,True,False,False,False
YTe-ju1QtiPkhF7qghzL294JVDuW1B1aBOqNGR4XQL4G4TZs,CSkdfbY5PvMDXGPTBDIu_PMTtS0qkMU3daPy7kdmrqEzM21qzgqOutyY,Q34fFnoSCe7gUnjvmbuO0hPpZBFrS4RFAuMVPqAEgfqPX5h9s1_THLpMEOzzIzDwKGTlRRafGENzyg,2073,1731750037204,683,1481,I,297,247,True,False,False,False
fmAIujTpwegfCtJtTs-c5sIMs0Xrfsj51pS41W6Yg8GnsXw,xZ3mKyu6KLNWILOMF3MZlZdmbqt1Iu-hc3Ex5PFp2x2F-cEm179lzJR6,QwO8EzYtR-Ef8NvQkSp1qbPz4YGqrDURBQdyvF7bMetIL5dzB-WuxlICWQwieauItZAX25MtEIImfw,3150,1731409505000,481,1469,I,225,181,True,False,False,False
7IdgUnOC4q1usLAyIZOm2-6luVLqNhFfslB1jhxD5EQzgn4,VfXEcHENZCHUdWh3Zr6-AAElLRl3BAxCDuQkRpzGaxLO_c8,Mp-3atakPoNSNma67Dv3-JPFwTu8VXWiagH7wj488h_XU_d_kzWWDnoXfoBDCEYmoIDDm9l0jjxm8w,3495,1731745164175,815,1459,I,177,120,True,False,False,False
